File,Datetime,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species Code,Common Name,Confidence
SYNC/Cam07/2020-04-29/UniFiVideo.Export.20200429.183000-20200429.071000/20200429.182000.JRNVR1Cam7.mp4,2020-04-29 11:20:00,53.0,Spectrogram 1,1.0,285.0,288.0,150.0,12000.0,yetvir,Yellow-throated Vireo,0.1148
scrubbed/Scrubbed_Files_02/lake2/20171003/proc_lake2_PST_D20171003T172135m304.wav,2017-10-03 17:21:35,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,brebla,Brewer's Blackbird,0.1035
scrubbed/Scrubbed_Files_03/upperlake1/20200727/proc_upperlake1_PST_D20200727T050037m895.wav,2020-07-27 05:00:37,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,blkpho,Black Phoebe,0.9704
scrubbed/Scrubbed_Files_01/marsh2/20160213/proc_marsh2_PST_D20160213T165938m305.wav,2016-02-13 16:59:38,1.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,acowoo,Acorn Woodpecker,0.7422
"SYNC/Cam10/2021-02-17/11 Camera 10 - 2-17-2021, 6.15.00am (3).mp4",2021-02-17 06:15:00,166.0,Spectrogram 1,1.0,1722.0,1725.0,150.0,12000.0,calthr,California Thrasher,0.1425
scrubbed/Scrubbed_Files_01/lake1/20140708/proc_lake1_PST_D20140708T183015m368.wav,2014-07-08 18:30:15,2.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,astfly,Ash-throated Flycatcher,0.192
scrubbed/Scrubbed_Files_01/marsh2/20130924/proc_marsh2_D20130924T064624m563.wav,2013-09-24 06:46:24,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,acowoo,Acorn Woodpecker,0.9621
SYNC/Cam07/2020-04-26/UniFiVideo.Export.20200427.065000-20200426.235001/20200427.020000.JRNVR1Cam7.mp4,2020-04-27 13:00:00,66.0,Spectrogram 1,1.0,351.0,354.0,150.0,12000.0,wilfly,Willow Flycatcher,0.1003
scrubbed/Scrubbed_Files_03/upperlake1/20180727/proc_upperlake1_PST_D20180727T053123m406.wav,2018-07-27 05:31:23,3.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,barswa,Barn Swallow,0.7882
scrubbed/Scrubbed_Files_03/ridge1/20200526/proc_ridge1_PST_D20200526T053247m560.wav,2020-05-26 05:32:47,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,spotow,Spotted Towhee,0.1658
"SYNC/Cam10/2021-04-05/11 Camera 10 - 4-5-2021, 5.57.00am (5).mp4",2021-04-05 05:57:00,92.0,Spectrogram 1,1.0,1662.0,1665.0,150.0,12000.0,rudtur,Ruddy Turnstone,0.1194
scrubbed/Scrubbed_Files_03/lake1/20180323/proc_lake1_PST_D20180323T233852m809.wav,2018-03-23 23:38:52,1.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,astfly,Ash-throated Flycatcher,0.16
SYNC/Cam02/2020-04-30/UniFiVideo.Export.20200501.024000-20200430.141001/20200501.012001.JRNVR1Cam2.mp4,2020-05-01 05:00:01,17.0,Spectrogram 1,1.0,207.0,210.0,150.0,12000.0,wrenti,Wrentit,0.1344
scrubbed/Scrubbed_Files_01/lake1/20140513/proc_lake1_PST_D20140513T192828m859.wav,2014-05-13 19:28:28,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,caltow,California Towhee,0.3676
