id,File,Datetime,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species Code,Common Name,Confidence
2026268,"SYNC/Cam01/2021-04-21/09 Camera 1 - 4-21-2021, 6.01.00am - 2.mp4",2021-04-21 06:01:00,338.0,Spectrogram 1,1.0,2370.0,2373.0,150.0,12000.0,warvir,Warbling Vireo,0.113
2026917,"SYNC/Cam01/2021-04-21/09 Camera 1 - 4-21-2021, 6.01.00am - 2.mp4",2021-04-21 06:01:00,530.0,Spectrogram 1,1.0,3375.0,3378.0,150.0,12000.0,spotow,Spotted Towhee,0.1707
2026968,"SYNC/Cam01/2021-04-21/09 Camera 1 - 4-21-2021, 6.01.00am - 3.mp4",2021-04-21 06:01:00,550.0,Spectrogram 1,1.0,2145.0,2148.0,150.0,12000.0,spotow,Spotted Towhee,0.1675
2027423,"SYNC/Cam02/2021-04-21/10 Camera 2 - 4-21-2021, 6.10.00am (11).mp4",2021-04-21 06:10:00,8.0,Spectrogram 1,1.0,45.0,48.0,150.0,12000.0,spotow,Spotted Towhee,0.2574
2034657,"SYNC/Cam07/2021-04-22/04 Camera 7 - 4-22-2021, 4.00.00am - 4.mp4",2021-04-22 04:00:00,363.0,Spectrogram 1,1.0,1326.0,1329.0,150.0,12000.0,rewbla,Red-winged Blackbird,0.1546
2034884,"SYNC/Cam07/2021-04-22/04 Camera 7 - 4-22-2021, 4.00.00am - 2.mp4",2021-04-22 04:00:00,440.0,Spectrogram 1,1.0,2421.0,2424.0,150.0,12000.0,pibgre,Pied-billed Grebe,0.2987
2037497,"SYNC/Cam01/2021-04-22/09 Camera 1 - 4-22-2021, 6.01.00am - 4.mp4",2021-04-22 06:01:00,106.0,Spectrogram 1,1.0,2238.0,2241.0,150.0,12000.0,spotow,Spotted Towhee,0.3324
2040531,"SYNC/Cam02/2021-04-22/10 Camera 2 - 4-22-2021, 6.11.00am (13).mp4",2021-04-22 06:11:00,136.0,Spectrogram 1,1.0,1797.0,1800.0,150.0,12000.0,indbun,Indigo Bunting,0.1801
2044141,"SYNC/Cam09/2021-04-23/06 Camera 9 - 4-23-2021, 4.00.00am - 1.mp4",2021-04-23 04:00:00,207.0,Spectrogram 1,1.0,3462.0,3465.0,150.0,12000.0,wiltur,Wild Turkey,0.4004
2045095,"SYNC/Cam07/2021-04-23/04 Camera 7 - 4-23-2021, 4.00.00am - 15.mp4",2021-04-23 04:00:00,343.0,Spectrogram 1,1.0,2100.0,2103.0,150.0,12000.0,virrai,Virginia Rail,0.1044
2045120,"SYNC/Cam07/2021-04-23/04 Camera 7 - 4-23-2021, 4.00.00am - 5.mp4",2021-04-23 04:00:00,348.0,Spectrogram 1,1.0,1821.0,1824.0,150.0,12000.0,wilfly,Willow Flycatcher,0.1204
2046459,"SYNC/Cam10/2021-04-23/11 Camera 10 - 4-23-2021, 5.57.00am - 2.mp4",2021-04-23 05:57:00,32.0,Spectrogram 1,1.0,114.0,117.0,150.0,12000.0,lobdow,Long-billed Dowitcher,0.2171
2047085,"SYNC/Cam10/2021-04-23/11 Camera 10 - 4-23-2021, 5.57.00am - 1.mp4",2021-04-23 05:57:00,209.0,Spectrogram 1,1.0,1677.0,1680.0,150.0,12000.0,spotow,Spotted Towhee,0.1128
2047457,"SYNC/Cam10/2021-04-23/11 Camera 10 - 4-23-2021, 5.57.00am - 0.mp4",2021-04-23 05:57:00,415.0,Spectrogram 1,1.0,3357.0,3360.0,150.0,12000.0,astfly,Ash-throated Flycatcher,0.8075
2047669,"SYNC/Cam01/2021-04-23/09 Camera 1 - 4-23-2021, 6.01.00am - 13.mp4",2021-04-23 06:01:00,15.0,Spectrogram 1,1.0,2124.0,2127.0,150.0,12000.0,caltow,California Towhee,0.503
2049895,"SYNC/Cam02/2021-04-23/10 Camera 2 - 4-23-2021, 6.10.00am (3).mp4",2021-04-23 06:10:00,96.0,Spectrogram 1,1.0,1149.0,1152.0,150.0,12000.0,astfly,Ash-throated Flycatcher,0.101
2051415,"SYNC/Cam02/2021-04-23/10 Camera 2 - 4-23-2021, 6.10.00am (1).mp4",2021-04-23 06:10:00,510.0,Spectrogram 1,1.0,2826.0,2829.0,150.0,12000.0,wrenti,Wrentit,0.2933
2051603,"SYNC/Cam04/2021-04-23/07 Camera 4 - 4-23-2021, 6.11.00am - 13.mp4",2021-04-23 06:11:00,36.0,Spectrogram 1,1.0,2550.0,2553.0,150.0,12000.0,grhowl,Great Horned Owl,0.5878
2054206,"SYNC/Cam09/2021-04-24/06 Camera 9 - 4-24-2021, 4.00.00am - 6.mp4",2021-04-24 04:00:00,179.0,Spectrogram 1,1.0,3324.0,3327.0,150.0,12000.0,caltow,California Towhee,0.1026
2058294,"SYNC/Cam10/2021-04-24/11 Camera 10 - 4-24-2021, 5.57.00am - 2.mp4",2021-04-24 05:57:00,305.0,Spectrogram 1,1.0,3156.0,3159.0,150.0,12000.0,astfly,Ash-throated Flycatcher,0.5156
2059140,"SYNC/Cam01/2021-04-24/09 Camera 1 - 4-24-2021, 6.03.00am - 0.mp4",2021-04-24 06:03:00,110.0,Spectrogram 1,1.0,300.0,303.0,150.0,12000.0,caltow,California Towhee,0.4339
2063169,"SYNC/Cam02/2021-04-24/10 Camera 2 - 4-24-2021, 6.10.00am (13).mp4",2021-04-24 06:10:00,439.0,Spectrogram 1,1.0,3132.0,3135.0,150.0,12000.0,spotow,Spotted Towhee,0.5382
2066651,"SYNC/Cam09/2021-04-25/06 Camera 9 - 4-25-2021, 4.00.00am - 14.mp4",2021-04-25 04:00:00,180.0,Spectrogram 1,1.0,837.0,840.0,150.0,12000.0,acowoo,Acorn Woodpecker,0.1253
2066691,"SYNC/Cam07/2021-04-25/04 Camera 7 - 4-25-2021, 4.00.00am - 2.mp4",2021-04-25 04:00:00,182.0,Spectrogram 1,1.0,861.0,864.0,150.0,12000.0,treswa,Tree Swallow,0.2382
2071273,"SYNC/Cam01/2021-04-25/09 Camera 1 - 4-25-2021, 6.03.00am - 1.mp4",2021-04-25 06:03:00,9.0,Spectrogram 1,1.0,18.0,21.0,150.0,12000.0,warvir,Warbling Vireo,0.1446
2071693,"SYNC/Cam01/2021-04-25/09 Camera 1 - 4-25-2021, 6.03.00am - 9.mp4",2021-04-25 06:03:00,63.0,Spectrogram 1,1.0,1356.0,1359.0,150.0,12000.0,caltow,California Towhee,0.1924
2080620,"SYNC/Cam07/2021-04-26/04 Camera 7 - 4-26-2021, 4.00.00am - 10.mp4",2021-04-26 04:00:00,220.0,Spectrogram 1,1.0,1581.0,1584.0,150.0,12000.0,rethaw,Red-tailed Hawk,0.2153
2082082,"SYNC/Cam09/2021-04-26/06 Camera 9 - 4-26-2021, 4.00.00am - 3.mp4",2021-04-26 04:00:00,320.0,Spectrogram 1,1.0,1914.0,1917.0,150.0,12000.0,caltow,California Towhee,0.2573
2082129,"SYNC/Cam07/2021-04-26/04 Camera 7 - 4-26-2021, 4.00.00am - 15.mp4",2021-04-26 04:00:00,323.0,Spectrogram 1,1.0,1656.0,1659.0,150.0,12000.0,treswa,Tree Swallow,0.1025
